dataset,configuration,cvi,algorithm
iono,"[[DBSCAN(algorithm='brute', eps=2, leaf_size=2, metric='l2', metric_params=None, min_samples=10, n_jobs=None, p=2)], [DBSCAN(algorithm='brute', eps=2, leaf_size=2, metric='euclidean', metric_params=None, min_samples=10, n_jobs=None, p=2)], [DBSCAN(algorithm='kd_tree', eps=2, leaf_size=3, metric='euclidean', metric_params=None, min_samples=10, n_jobs=None, p=3)], [DBSCAN(algorithm='brute', eps=2, leaf_size=1, metric='euclidean', metric_params=None, min_samples=10, n_jobs=None, p=1)], [DBSCAN(algorithm='brute', eps=2, leaf_size=1, metric='l2', metric_params=None, min_samples=10, n_jobs=None, p=1)], [DBSCAN(algorithm='ball_tree', eps=2, leaf_size=3, metric='euclidean', metric_params=None, min_samples=10, n_jobs=None, p=3)], [DBSCAN(algorithm='ball_tree', eps=2, leaf_size=2, metric='euclidean', metric_params=None, min_samples=10, n_jobs=None, p=2)], [DBSCAN(algorithm='kd_tree', eps=2, leaf_size=1, metric='euclidean', metric_params=None, min_samples=10, n_jobs=None, p=1)], [DBSCAN(algorithm='kd_tree', eps=2, leaf_size=2, metric='l2', metric_params=None, min_samples=10, n_jobs=None, p=2)], [DBSCAN(algorithm='ball_tree', eps=2, leaf_size=2, metric='l2', metric_params=None, min_samples=10, n_jobs=None, p=2)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
glass,"[[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=91)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=39)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=64)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=39)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=39)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=87)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=39)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=39)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=39)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=66)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
cure-t1-2000n-2D,"[[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=False,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=False,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=False,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['mcclain_rao', -1], ['dunns_index', 1], ['banfeld_raferty', -1]]",meanshift
threenorm,"[[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=25)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=94)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=34)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=84)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=95)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=85)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
compound,"[[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.9050282686724238,kernel_params=None,n_clusters=4,n_components=None,n_init=10,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.6949869856082622,kernel_params=None,n_clusters=74,n_components=None,n_init=6,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.9617181544273846,kernel_params=None,n_clusters=94,n_components=None,n_init=11,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.923290498387018,kernel_params=None,n_clusters=12,n_components=None,n_init=2,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.774611092886703,kernel_params=None,n_clusters=7,n_components=None,n_init=18,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.2898063170242455,kernel_params=None,n_clusters=80,n_components=None,n_init=10,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.402589304433567,kernel_params=None,n_clusters=12,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.7421993642784432,kernel_params=None,n_clusters=19,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.697156862360481,kernel_params=None,n_clusters=49,n_components=None,n_init=16,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.1869475838248038,kernel_params=None,n_clusters=12,n_components=None,n_init=17,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
complex9,"[[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=82)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=54)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=11)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=12)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=91)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=38)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=14)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=47)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=15)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=93)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
chainlink,"[[DBSCAN(algorithm='auto',eps=0.8,leaf_size=1,metric='manhattan',metric_params=None,min_samples=5,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=0.8,leaf_size=1,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=0.5,leaf_size=2,metric='l1',metric_params=None,min_samples=30,n_jobs=None,p=2)],[DBSCAN(algorithm='ball_tree',eps=0.3,leaf_size=3,metric='cityblock',metric_params=None,min_samples=10,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=0.8,leaf_size=2,metric='cityblock',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=0.3,leaf_size=3,metric='euclidean',metric_params=None,min_samples=30,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=0.3,leaf_size=2,metric='l1',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=0.8,leaf_size=1,metric='cityblock',metric_params=None,min_samples=5,n_jobs=None,p=1)],[DBSCAN(algorithm='kd_tree',eps=0.3,leaf_size=3,metric='euclidean',metric_params=None,min_samples=30,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=0.5,leaf_size=2,metric='euclidean',metric_params=None,min_samples=15,n_jobs=None,p=2)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
wingnut,"[[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.01275235271229,kernel_params=None,n_clusters=33,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.1293470083919255,kernel_params=None,n_clusters=90,n_components=None,n_init=15,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.506753103866396,kernel_params=None,n_clusters=5,n_components=None,n_init=15,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.470413081270264,kernel_params=None,n_clusters=29,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.0168242229276998,kernel_params=None,n_clusters=18,n_components=None,n_init=7,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.832981584028556,kernel_params=None,n_clusters=5,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=0.7335594414846753,kernel_params=None,n_clusters=14,n_components=None,n_init=20,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.3057401757316882,kernel_params=None,n_clusters=43,n_components=None,n_init=2,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.1787182576613746,kernel_params=None,n_clusters=78,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.6805683561695905,kernel_params=None,n_clusters=22,n_components=None,n_init=20,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
pathbased,"[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['mcclain_rao', -1], ['dunns_index', 1], ['banfeld_raferty', -1]]",meanshift
impossible,"[[DBSCAN(algorithm='auto',eps=1,leaf_size=3,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=1,leaf_size=2,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=1,leaf_size=1,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=1,leaf_size=3,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=1,leaf_size=3,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=1,leaf_size=3,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=1,leaf_size=2,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=1,leaf_size=1,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=1,leaf_size=1,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=1,leaf_size=1,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=1)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
